№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
384-1,メガレックウザ,Mega Rayquaza,105,180,100,180,100,115,780,ドラゴン,ひこう,デルタストリーム,10.8,392.0,3,不明,351,0,"攻撃+2
特攻+1",未発見,30855,125万,
385,ジラーチ,Jirachi,100,100,100,100,100,100,600,はがね,エスパー,てんのめぐみ,0.3,1.1,3,不明,270,100,HP+3,未発見,30855,125万,
386,デオキシスN,Deoxys Normal,50,150,50,150,50,150,600,エスパー,,プレッシャー,1.7,60.8,3,不明,270,0,"攻撃+1
特攻+1
素早+1",未発見,30855,125万,
386-1,デオキシスA,Deoxys Attack,50,180,20,180,20,150,600,エスパー,,プレッシャー,1.7,60.8,3,不明,270,0,"攻撃+2
特攻+1",未発見,30855,125万,
386-2,デオキシスD,Deoxys Defense,50,70,160,70,160,90,600,エスパー,,プレッシャー,1.7,60.8,3,不明,270,0,"防御+2
特防+1",未発見,30855,125万,
386-3,デオキシスS,Deoxys Speed,50,95,90,95,90,180,600,エスパー,,プレッシャー,1.7,60.8,3,不明,270,0,素早+3,未発見,30855,125万,
387,ナエトル,Turtwig,55,68,64,45,55,31,318,くさ,,"しんりょく
(シェルアーマー)",0.4,10.2,45,7:1,64,70,攻撃+1,"怪獣
植物",5355,106万,0.875
388,ハヤシガメ,Grotle,75,89,85,55,65,36,405,くさ,,"しんりょく
(シェルアーマー)",1.1,97.0,45,7:1,142,70,"攻撃+1
防御+1","怪獣
植物",5355,106万,0.875
389,ドダイトス,Torterra,95,109,105,75,85,56,525,くさ,じめん,"しんりょく
(シェルアーマー)",2.2,310.0,45,7:1,236,70,"攻撃+2
防御+1","怪獣
植物",5355,106万,0.875
390,ヒコザル,Chimchar,44,58,44,58,44,61,309,ほのお,,"もうか
(てつのこぶし)",0.5,6.2,45,7:1,62,70,素早+1,"陸上
人型",5355,106万,0.875
391,モウカザル,Monferno,64,78,52,78,52,81,405,ほのお,かくとう,"もうか
(てつのこぶし)",0.9,22.0,45,7:1,142,70,"特攻+1
素早+1","陸上
人型",5355,106万,0.875
392,ゴウカザル,Infernape,76,104,71,104,71,108,534,ほのお,かくとう,"もうか
(てつのこぶし)",1.2,55.0,45,7:1,240,70,"攻撃+1
特攻+1
素早+1","陸上
人型",5355,106万,0.875
393,ポッチャマ,Piplup,53,51,53,61,56,40,314,みず,,"げきりゅう
(まけんき)",0.4,5.2,45,7:1,63,70,特攻+1,"水中1
陸上",5355,106万,0.875
394,ポッタイシ,Prinplup,64,66,68,81,76,50,405,みず,,"げきりゅう
(まけんき)",0.8,23.0,45,7:1,142,70,特攻+2,"水中1
陸上",5355,106万,0.875
395,エンペルト,Empoleon,84,86,88,111,101,60,530,みず,はがね,"げきりゅう
(まけんき)",1.7,84.5,45,7:1,239,70,特攻+3,"水中1
陸上",5355,106万,0.875
396,ムックル,Starly,40,55,30,30,30,60,245,ノーマル,ひこう,"するどいめ
(すてみ)",0.3,2.0,255,1:1,49,70,素早+1,飛行,4080,106万,0.5
397,ムクバード,Staravia,55,75,50,40,40,80,340,ノーマル,ひこう,"いかく
(すてみ)",0.6,15.5,120,1:1,119,70,素早+2,飛行,4080,106万,0.5
398,ムクホーク,Staraptor,85,120,70,50,60,100,485,ノーマル,ひこう,"いかく
(すてみ)",1.2,24.9,45,1:1,218,70,攻撃+3,飛行,4080,106万,0.5
399,ビッパ,Bidoof,59,45,40,35,40,31,250,ノーマル,,"たんじゅん
てんねん
(ムラっけ)",0.5,20.0,255,1:1,50,70,HP+1,"水中1
陸上",4080,100万,0.5
400,ビーダル,Bibarel,79,85,60,55,60,71,410,ノーマル,みず,"たんじゅん
てんねん
(ムラっけ)",1.0,31.5,127,1:1,144,70,攻撃+2,"水中1
陸上",4080,100万,0.5
401,コロボーシ,Kricketot,37,25,41,25,41,25,194,むし,,"だっぴ
(にげあし)",0.3,2.2,255,1:1,39,70,防御+1,虫,4080,106万,0.5
402,コロトック,Kricketune,77,85,51,55,51,65,384,むし,,"むしのしらせ
(テクニシャン)",1.0,25.5,45,1:1,134,70,攻撃+2,虫,4080,106万,0.5
403,コリンク,Shinx,45,65,34,40,34,45,263,でんき,,"とうそうしん
いかく
(こんじょう)",0.5,9.5,235,1:1,53,70,攻撃+1,陸上,5355,106万,0.5
404,ルクシオ,Luxio,60,85,49,60,49,60,363,でんき,,"とうそうしん
いかく
(こんじょう)",0.9,30.5,120,1:1,127,100,攻撃+2,陸上,5355,106万,0.5
405,レントラー,Luxray,80,120,79,95,79,70,523,でんき,,"とうそうしん
いかく
(こんじょう)",1.4,42.0,45,1:1,235,70,攻撃+3,陸上,5355,106万,0.5
406,スボミー,Budew,40,30,35,50,70,55,280,くさ,どく,"しぜんかいふく
どくのトゲ
(リーフガード)",0.2,1.2,255,1:1,56,70,特攻+1,未発見,5355,106万,0.5
407,ロズレイド,Roserade,60,70,65,125,105,90,515,くさ,どく,"しぜんかいふく
どくのトゲ
(テクニシャン)",0.9,14.5,75,1:1,232,70,特攻+3,"妖精
植物",5355,106万,0.5
408,ズガイドス,Cranidos,67,125,40,30,30,58,350,いわ,,"かたやぶり
(ちからずく)",0.9,31.5,45,7:1,70,70,攻撃+1,怪獣,7905,60万,0.875
409,ラムパルド,Rampardos,97,165,60,65,50,58,495,いわ,,"かたやぶり
(ちからずく)",1.6,102.5,45,7:1,173,70,攻撃+2,怪獣,7905,60万,0.875
410,タテトプス,Shieldon,30,42,118,42,88,30,350,いわ,はがね,"がんじょう
(ぼうおん)",0.5,57.0,45,7:1,70,70,防御+1,怪獣,7905,60万,0.875
411,トリデプス,Bastiodon,60,52,168,47,138,30,495,いわ,はがね,"がんじょう
(ぼうおん)",1.3,149.5,45,7:1,173,70,防御+2,怪獣,7905,60万,0.875
412,ミノムッチ,Burmy,40,29,45,29,45,36,224,むし,,"だっぴ
(ぼうじん)",0.2,3.4,120,1:1,45,70,特防+1,虫,4080,100万,0.5
413,ミノマダム草,Wormadam Plant,60,59,85,79,105,36,424,むし,くさ,"きけんよち
(ぼうじん)",0.5,6.5,45,♀,148,70,特防+2,虫,4080,100万,0.0
413-1,ミノマダム地,Wormadam Sandy,60,79,105,59,85,36,424,むし,じめん,"きけんよち
(ぼうじん)",0.5,6.5,45,♀,148,70,防御+2,虫,4080,100万,0.0
413-2,ミノマダム鋼,Wormadam Trash,60,69,95,69,95,36,424,むし,はがね,"きけんよち
(ぼうじん)",0.5,6.5,45,♀,148,70,"防御+1
特防+1",虫,4080,100万,0.0
414,ガーメイル,Mothim,70,94,50,94,50,66,424,むし,ひこう,"むしのしらせ
(いろめがね)",0.9,23.3,45,♂,148,70,"攻撃+1
特攻+1",虫,4080,100万,1.0
415,ミツハニー,Combee,30,30,42,30,42,70,244,むし,ひこう,"みつあつめ
(はりきり)",0.3,5.5,120,7:1,49,70,素早+1,虫,4080,106万,0.875
416,ビークイン,Vespiquen,70,80,102,80,102,40,474,むし,ひこう,"プレッシャー
(きんちょうかん)",1.2,38.5,45,♀,166,70,"防御+1
特防+1",虫,4080,106万,0.0
417,パチリス,Pachirisu,60,45,70,45,90,95,405,でんき,,"にげあし
ものひろい
(ちくでん)",0.4,3.9,200,1:1,142,100,素早+1,"陸上
妖精",2805,100万,0.5
418,ブイゼル,Buizel,55,65,35,60,30,85,330,みず,,"すいすい
(みずのベール)",0.7,29.5,190,1:1,66,70,素早+1,"水中1
陸上",5355,100万,0.5
419,フローゼル,Floatzel,85,105,55,85,50,115,495,みず,,"すいすい
(みずのベール)",1.1,33.5,75,1:1,173,70,素早+2,"水中1
陸上",5355,100万,0.5
420,チェリンボ,Cherubi,45,35,45,62,53,35,275,くさ,,ようりょくそ,0.4,3.3,190,1:1,55,70,特攻+1,"妖精
植物",5355,100万,0.5
421,チェリム,Cherrim,70,60,70,87,78,85,450,くさ,,フラワーギフト,0.5,9.3,75,1:1,158,70,特攻+2,"妖精
植物",5355,100万,0.5
422,カラナクシ,Shellos,76,48,48,57,62,34,325,みず,,"ねんちゃく
よびみず
(すなのちから)",0.3,6.3,190,1:1,65,70,HP+1,"水中1
不定形",5355,100万,0.5
423,トリトドン,Gastrodon,111,83,68,92,82,39,475,みず,じめん,"ねんちゃく
よびみず
(すなのちから)",0.9,29.9,75,1:1,166,70,HP+2,"水中1
不定形",5355,100万,0.5
424,エテボース,Ambipom,75,100,66,60,66,115,482,ノーマル,,"テクニシャン
ものひろい
(スキルリンク)",1.2,20.3,45,1:1,169,100,素早+2,陸上,5355,80万,0.5
425,フワンテ,Drifloon,90,50,34,60,44,70,348,ゴースト,ひこう,"ゆうばく
かるわざ
(ねつぼうそう)",0.4,1.2,125,1:1,70,70,HP+1,不定形,7905,164万,0.5
426,フワライド,Drifblim,150,80,44,90,54,80,498,ゴースト,ひこう,"ゆうばく
かるわざ
(ねつぼうそう)",1.2,15.0,60,1:1,174,70,HP+2,不定形,7905,164万,0.5
427,ミミロル,Buneary,55,66,44,44,56,85,350,ノーマル,,"にげあし
ぶきよう
(じゅうなん)",0.4,5.5,190,1:1,70,0,素早+1,"陸上
人型",5355,100万,0.5
428,ミミロップ,Lopunny,65,76,84,54,96,105,480,ノーマル,,"メロメロボディ
ぶきよう
(じゅうなん)",1.2,33.3,60,1:1,168,140,素早+2,"陸上
人型",5355,100万,0.5
428-1,メガミミロップ,Mega Lopunny,65,136,94,54,96,135,580,ノーマル,かくとう,きもったま,1.3,28.3,60,1:1,203,140,素早+2,"陸上
人型",5355,100万,0.5
429,ムウマージ,Mismagius,60,60,60,105,105,105,495,ゴースト,,ふゆう,0.9,4.4,45,1:1,173,35,"特攻+1
特防+1",不定形,6630,80万,0.5
430,ドンカラス,Honchkrow,100,125,52,105,52,71,505,あく,ひこう,"ふみん
きょううん
(じしんかじょう)",0.9,27.3,30,1:1,177,35,攻撃+2,飛行,5355,106万,0.5
431,ニャルマー,Glameow,49,55,42,42,37,85,310,ノーマル,,"じゅうなん
マイペース
(するどいめ)",0.5,3.9,190,1:7,62,70,素早+1,陸上,5355,80万,0.125
432,ブニャット,Purugly,71,82,64,64,59,112,452,ノーマル,,"あついしぼう
マイペース
(まけんき)",1.0,43.8,75,1:7,158,70,素早+2,陸上,5355,80万,0.125
433,リーシャン,Chingling,45,30,50,65,50,45,285,エスパー,,ふゆう,0.2,0.6,120,1:1,57,70,特攻+1,未発見,6630,80万,0.5
434,スカンプー,Stunky,63,63,47,41,41,74,329,どく,あく,"あくしゅう
ゆうばく
(するどいめ)",0.4,19.2,225,1:1,66,70,素早+1,陸上,5355,100万,0.5
435,スカタンク,Skuntank,103,93,67,71,61,84,479,どく,あく,"あくしゅう
ゆうばく
(するどいめ)",1.0,38.0,60,1:1,168,70,HP+2,陸上,5355,100万,0.5
436,ドーミラー,Bronzor,57,24,86,24,86,23,300,はがね,エスパー,"ふゆう
たいねつ
(ヘヴィメタル)",0.5,60.5,255,不明,60,70,防御+1,鉱物,5355,100万,
437,ドータクン,Bronzong,67,89,116,79,116,33,500,はがね,エスパー,"ふゆう
たいねつ
(ヘヴィメタル)",1.3,187.0,90,不明,175,70,"防御+1
特防+1",鉱物,5355,100万,
438,ウソハチ,Bonsly,50,80,95,10,45,10,290,いわ,,"がんじょう
いしあたま
(びびり)",0.5,15.0,255,1:1,58,70,防御+1,未発見,5355,100万,0.5
439,マネネ,Mime Jr.,20,25,45,70,90,60,310,エスパー,フェアリー,"ぼうおん
フィルター
(テクニシャン)",0.6,13.0,145,1:1,62,70,特防+1,未発見,6630,100万,0.5
440,ピンプク,Happiny,100,5,5,15,65,30,220,ノーマル,,"しぜんかいふく
てんのめぐみ
(フレンドガード)",0.6,24.4,130,♀,110,140,HP+1,未発見,10455,80万,0.0
441,ペラップ,Chatot,76,65,45,92,42,91,411,ノーマル,ひこう,"するどいめ
ちどりあし
(はとむね)",0.5,1.9,30,1:1,144,35,攻撃+1,飛行,5355,106万,0.5
442,ミカルゲ,Spiritomb,50,92,108,92,108,35,485,ゴースト,あく,"プレッシャー
(すりぬけ)",1.0,108.0,100,1:1,170,70,"防御+1
特防+1",不定形,7905,100万,0.5
443,フカマル,Gible,58,70,45,40,45,42,300,ドラゴン,じめん,"すながくれ
(さめはだ)",0.7,20.5,45,1:1,60,70,攻撃+1,"怪獣
ドラゴン",10455,125万,0.5
444,ガバイト,Gabite,68,90,65,50,55,82,410,ドラゴン,じめん,"すながくれ
(さめはだ)",1.4,56.0,45,1:1,144,70,攻撃+2,"怪獣
ドラゴン",10455,125万,0.5
445,ガブリアス,Garchomp,108,130,95,80,85,102,600,ドラゴン,じめん,"すながくれ
(さめはだ)",1.9,95.0,45,1:1,270,70,攻撃+3,"怪獣
ドラゴン",10455,125万,0.5
445-1,メガガブリアス,Mega Garchomp,108,170,115,120,95,92,700,ドラゴン,じめん,すなのちから,1.9,95.0,45,1:1,315,70,攻撃+3,"怪獣
ドラゴン",10455,125万,0.5
446,ゴンベ,Munchlax,135,85,40,40,85,5,390,ノーマル,,"ものひろい
あついしぼう
(くいしんぼう)",0.6,105.0,50,7:1,78,70,HP+1,未発見,10455,125万,0.875
447,リオル,Riolu,40,70,40,35,40,60,285,かくとう,,"ふくつのこころ
せいしんりょく
(いたずらごころ)",0.7,20.2,75,7:1,57,70,攻撃+1,未発見,6630,106万,0.875
448,ルカリオ,Lucario,70,110,70,115,70,90,525,かくとう,はがね,"ふくつのこころ
せいしんりょく
(せいぎのこころ)",1.2,54.0,45,7:1,184,70,"攻撃+1
特攻+1","陸上
人型",6630,106万,0.875
448-1,メガルカリオ,Mega Lucario,70,145,88,140,70,112,625,かくとう,はがね,てきおうりょく,1.3,57.5,45,7:1,219,70,"攻撃+1
特攻+1","陸上
人型",6630,106万,0.875
449,ヒポポタス,Hippopotas,68,72,78,38,42,32,330,じめん,,"すなおこし
(すなのちから)",0.8,49.5,140,1:1,66,70,防御+1,陸上,7905,125万,0.5
450,カバルドン,Hippowdon,108,112,118,68,72,47,525,じめん,,"すなおこし
(すなのちから)",2.0,300.0,60,1:1,184,70,防御+2,陸上,7905,125万,0.5
451,スコルピ,Skorupi,40,50,90,30,55,65,330,どく,むし,"カブトアーマー
スナイパー
(するどいめ)",0.8,12.0,120,1:1,66,70,防御+1,"虫
水中3",5355,125万,0.5
452,ドラピオン,Drapion,70,90,110,60,75,95,500,どく,あく,"カブトアーマー
スナイパー
(するどいめ)",1.3,61.5,45,1:1,175,70,防御+2,"虫
水中3",5355,125万,0.5
453,グレッグル,Croagunk,48,61,40,61,40,50,300,どく,かくとう,"きけんよち
かんそうはだ
(どくしゅ)",0.7,23.0,140,1:1,60,100,攻撃+1,人型,2805,100万,0.5
454,ドクロッグ,Toxicroak,83,106,65,86,65,85,490,どく,かくとう,"きけんよち
かんそうはだ
(どくしゅ)",1.3,44.4,75,1:1,172,70,攻撃+2,人型,2805,100万,0.5
455,マスキッパ,Carnivine,74,100,72,90,72,46,454,くさ,,ふゆう,1.4,27.0,200,1:1,159,70,攻撃+2,植物,6630,125万,0.5
456,ケイコウオ,Finneon,49,49,56,49,61,66,330,みず,,"すいすい
よびみず
(みずのベール)",0.4,7.0,190,1:1,66,70,素早+1,水中2,5355,60万,0.5
457,ネオラント,Lumineon,69,69,76,69,86,91,460,みず,,"すいすい
よびみず
(みずのベール)",1.2,24.0,75,1:1,161,70,素早+2,水中2,5355,60万,0.5
458,タマンタ,Mantyke,45,20,50,60,120,50,345,みず,ひこう,"すいすい
ちょすい
(みずのベール)",1.0,65.0,25,1:1,69,70,特防+1,未発見,6630,125万,0.5
459,ユキカブリ,Snover,60,62,50,62,60,40,334,くさ,こおり,"ゆきふらし
(ぼうおん)",1.0,50.5,120,1:1,67,70,攻撃+1,"怪獣
植物",5355,125万,0.5
460,ユキノオー,Abomasnow,90,92,75,92,85,60,494,くさ,こおり,"ゆきふらし
(ぼうおん)",2.2,135.5,60,1:1,173,70,"攻撃+1
特攻+1","怪獣
植物",5355,125万,0.5
460-1,メガユキノオー,Mega Abomasnow,90,132,105,132,105,30,594,くさ,こおり,ゆきふらし,2.7,185.0,60,1:1,208,70,"攻撃+1
特攻+1","怪獣
植物",5355,125万,0.5
461,マニューラ,Weavile,70,120,65,45,85,125,510,あく,こおり,"プレッシャー
(わるいてぐせ)",1.1,34.0,45,1:1,179,35,"攻撃+1
素早+1",陸上,5355,106万,0.5
462,ジバコイル,Magnezone,70,70,115,130,90,60,535,でんき,はがね,"じりょく
がんじょう
(アナライズ)",1.2,180.0,30,不明,241,70,特攻+3,鉱物,5355,100万,
463,ベロベルト,Lickilicky,110,85,95,80,95,50,515,ノーマル,,"マイペース
どんかん
(ノーてんき)",1.7,140.0,30,1:1,180,70,HP+3,怪獣,5355,100万,0.5
464,ドサイドン,Rhyperior,115,140,130,55,55,40,535,じめん,いわ,"ひらいしん
ハードロック
(すてみ)",2.4,282.8,30,1:1,241,70,攻撃+3,"怪獣
陸上",5355,125万,0.5
465,モジャンボ,Tangrowth,100,100,125,110,50,50,535,くさ,,"ようりょくそ
リーフガード
(さいせいりょく)",2.0,128.6,30,1:1,187,70,防御+2,植物,5355,100万,0.5
466,エレキブル,Electivire,75,123,67,95,85,95,540,でんき,,"でんきエンジン
(やるき)",1.8,138.6,30,3:1,243,70,攻撃+3,人型,6630,100万,0.75
467,ブーバーン,Magmortar,75,95,67,125,95,83,540,ほのお,,"ほのおのからだ
(やるき)",1.6,68.0,30,3:1,243,70,特攻+3,人型,6630,100万,0.75
468,トゲキッス,Togekiss,85,50,95,120,115,80,545,フェアリー,ひこう,"はりきり
てんのめぐみ
(きょううん)",1.5,38.0,30,7:1,245,70,"特攻+2
特防+1","飛行
妖精",2805,80万,0.875
469,メガヤンマ,Yanmega,86,76,86,116,56,95,515,むし,ひこう,"かそく
いろめがね
(おみとおし)",1.9,51.5,30,1:1,180,70,攻撃+2,虫,5355,100万,0.5
470,リーフィア,Leafeon,65,110,130,60,65,95,525,くさ,,"リーフガード
(ようりょくそ)",1.0,25.5,45,7:1,184,35,防御+2,陸上,9180,100万,0.875
471,グレイシア,Glaceon,65,60,110,130,95,65,525,こおり,,"ゆきがくれ
(アイスボディ)",0.8,25.9,45,7:1,184,35,特攻+2,陸上,9180,100万,0.875
472,グライオン,Gliscor,75,95,125,45,75,95,510,じめん,ひこう,"かいりきバサミ
すながくれ
(ポイズンヒール)",2.0,42.5,30,1:1,179,70,防御+2,虫,5355,106万,0.5
473,マンムー,Mamoswine,110,130,80,70,60,80,530,こおり,じめん,"どんかん
ゆきがくれ
(あついしぼう)",2.5,291.0,50,1:1,239,70,攻撃+3,陸上,5355,125万,0.5
474,ポリゴンＺ,Porygon-Z,85,80,70,135,75,90,535,ノーマル,,"てきおうりょく
ダウンロード
(アナライズ)",0.9,34.0,30,1:1,241,70,特攻+3,鉱物,5355,100万,0.5
475,エルレイド,Gallade,68,125,65,65,115,80,518,エスパー,かくとう,"ふくつのこころ
(せいぎのこころ)",1.6,52.0,45,♂,233,35,攻撃+3,不定形,5355,125万,1.0
475-1,メガエルレイド,Mega Gallade,68,165,95,65,115,110,618,エスパー,かくとう,せいしんりょく,1.6,56.4,45,♂,278,35,攻撃+3,不定形,5355,125万,1.0
476,ダイノーズ,Probopass,60,55,145,75,150,40,525,いわ,はがね,"がんじょう
じりょく
(すなのちから)",1.4,340.0,60,1:1,184,70,"防御+1
特防+2",鉱物,5355,100万,0.5
477,ヨノワール,Dusknoir,45,100,135,65,135,45,525,ゴースト,,"プレッシャー
(おみとおし)",2.2,106.6,45,1:1,236,35,"防御+1
特防+2",不定形,6630,80万,0.5
478,ユキメノコ,Froslass,70,80,70,80,70,110,480,こおり,ゴースト,"ゆきがくれ
(のろわれボディ)",1.3,26.6,75,♀,168,70,素早+2,"妖精
鉱物",5355,100万,0.0
479,ロトム,Rotom,50,50,77,95,77,91,440,でんき,ゴースト,ふゆう,0.3,0.3,45,不明,154,70,"特攻+1
素早+1",不定形,5355,100万,
479-1,ロトム炎,Heat Rotom,50,65,107,105,107,86,520,でんき,ほのお,ふゆう,0.3,0.3,45,不明,182,70,"特攻+1
素早+1",不定形,5355,100万,
479-2,ロトム水,Wash Rotom,50,65,107,105,107,86,520,でんき,みず,ふゆう,0.3,0.3,45,不明,182,70,"特攻+1
素早+1",不定形,5355,100万,
479-3,ロトム氷,Frost Rotom,50,65,107,105,107,86,520,でんき,こおり,ふゆう,0.3,0.3,45,不明,182,70,"特攻+1
素早+1",不定形,5355,100万,
479-4,ロトム飛,Fan Rotom,50,65,107,105,107,86,520,でんき,ひこう,ふゆう,0.3,0.3,45,不明,182,70,"特攻+1
素早+1",不定形,5355,100万,
479-5,ロトム草,Mow Rotom,50,65,107,105,107,86,520,でんき,くさ,ふゆう,0.3,0.3,45,不明,182,70,"特攻+1
素早+1",不定形,5355,100万,
480,ユクシー,Uxie,75,75,130,75,130,95,580,エスパー,,ふゆう,0.3,0.3,3,不明,261,140,"防御+2
特防+1",未発見,20655,125万,
481,エムリット,Mesprit,80,105,105,105,105,80,580,エスパー,,ふゆう,0.3,0.3,3,不明,261,140,"攻撃+1
特攻+1
特防+1",未発見,20655,125万,
482,アグノム,Azelf,75,125,70,125,70,115,580,エスパー,,ふゆう,0.3,0.3,3,不明,261,140,"攻撃+2
特攻+1",未発見,20655,125万,
483,ディアルガ,Dialga,100,120,120,150,100,90,680,はがね,ドラゴン,"プレッシャー
(テレパシー)",5.4,683.0,30,不明,306,0,特攻+3,未発見,30855,125万,
484,パルキア,Palkia,90,120,100,150,120,100,680,みず,ドラゴン,"プレッシャー
(テレパシー)",4.2,336.0,30,不明,306,0,特攻+3,未発見,30855,125万,
485,ヒードラン,Heatran,91,90,106,130,106,77,600,ほのお,はがね,"もらいび
(ほのおのからだ)",1.7,430.0,3,1:1,270,100,特攻+3,未発見,2805,125万,0.5
486,レジギガス,Regigigas,110,160,110,80,110,100,670,ノーマル,,スロースタート,3.7,420.0,3,不明,302,0,攻撃+3,未発見,30855,125万,
487,ギラティナA,Giratina Altered,150,100,120,100,120,90,680,ゴースト,ドラゴン,"プレッシャー
(テレパシー)",4.5,750.0,3,不明,306,0,HP+3,未発見,30855,125万,
487-1,ギラティナO,Giratina Origin,150,120,100,120,100,90,680,ゴースト,ドラゴン,ふゆう,6.9,650.0,3,不明,306,0,HP+3,未発見,30855,125万,
488,クレセリア,Cresselia,120,70,120,75,130,85,600,エスパー,,ふゆう,1.5,85.6,3,♀,270,100,特防+3,未発見,30855,125万,0.0
489,フィオネ,Phione,80,80,80,80,80,80,480,みず,,うるおいボディ,0.4,3.1,30,不明,216,70,HP+1,"水中1
妖精",10455,125万,
490,マナフィ,Manaphy,100,100,100,100,100,100,600,みず,,うるおいボディ,0.3,1.4,3,不明,270,70,HP+3,"水中1
妖精",2805,125万,
491,ダークライ,Darkrai,70,90,90,135,90,125,600,あく,,ナイトメア,1.5,50.5,3,不明,270,0,"特攻+2
素早+1",未発見,30855,125万,
492,シェイミL,Shaymin Land,100,100,100,100,100,100,600,くさ,,しぜんかいふく,0.2,2.1,45,不明,270,100,HP+3,未発見,30855,106万,
492-1,シェイミS,Shaymin Sky,100,103,75,120,75,127,600,くさ,ひこう,てんのめぐみ,0.4,5.2,45,不明,270,100,素早+3,未発見,30855,106万,
493,アルセウス,Arceus,120,120,120,120,120,120,720,ノーマル,,マルチタイプ,3.2,320.0,3,不明,324,0,HP+3,未発見,30855,125万,
494,ビクティニ,Victini,100,100,100,100,100,100,600,エスパー,ほのお,しょうりのほし,0.4,4.0,3,不明,270,100,HP+3,未発見,30855,125万,
495,ツタージャ,Snivy,45,45,55,45,55,63,308,くさ,,"しんりょく
(あまのじゃく)",0.6,8.1,45,7:1,62,70,素早+1,"陸上
植物",5355,106万,0.875
496,ジャノビー,Servine,60,60,75,60,75,83,413,くさ,,"しんりょく
(あまのじゃく)",0.8,16.0,45,7:1,145,70,素早+2,"陸上
植物",5355,106万,0.875
497,ジャローダ,Serperior,75,75,95,75,95,113,528,くさ,,"しんりょく
(あまのじゃく)",3.3,63.0,45,7:1,238,70,素早+3,"陸上
植物",5355,106万,0.875
498,ポカブ,Tepig,65,63,45,45,45,45,308,ほのお,,"もうか
(あついしぼう)",0.5,9.9,45,7:1,62,70,HP+1,陸上,5355,106万,0.875
499,チャオブー,Pignite,90,93,55,70,55,55,418,ほのお,かくとう,"もうか
(あついしぼう)",1.0,55.5,45,7:1,146,70,攻撃+2,陸上,5355,106万,0.875
500,エンブオー,Emboar,110,123,65,100,65,65,528,ほのお,かくとう,"もうか
(すてみ)",1.6,150.0,45,7:1,238,70,攻撃+3,陸上,5355,106万,0.875
501,ミジュマル,Oshawott,55,55,45,63,45,45,308,みず,,"げきりゅう
(シェルアーマー)",0.5,5.9,45,7:1,62,70,特攻+1,陸上,5355,106万,0.875
502,フタチマル,Dewott,75,75,60,83,60,60,413,みず,,"げきりゅう
(シェルアーマー)",0.8,24.5,45,7:1,145,70,特攻+2,陸上,5355,106万,0.875
503,ダイケンキ,Samurott,95,100,85,108,70,70,528,みず,,"げきりゅう
(シェルアーマー)",1.5,94.6,45,7:1,238,70,特攻+3,陸上,5355,106万,0.875
504,ミネズミ,Patrat,45,55,39,35,39,42,255,ノーマル,,"にげあし
するどいめ
(アナライズ)",0.5,11.6,255,1:1,51,70,攻撃+1,陸上,4080,100万,0.5
505,ミルホッグ,Watchog,60,85,69,60,69,77,420,ノーマル,,"はっこう
するどいめ
(アナライズ)",1.1,27.0,255,1:1,147,70,攻撃+2,陸上,4080,100万,0.5
506,ヨーテリー,Lillipup,45,60,45,25,45,55,275,ノーマル,,"やるき
ものひろい
(にげあし)",0.4,4.1,255,1:1,55,70,攻撃+1,陸上,4080,106万,0.5
507,ハーデリア,Herdier,65,80,65,35,65,60,370,ノーマル,,"いかく
すなかき
(きもったま)",0.9,14.7,120,1:1,130,70,攻撃+2,陸上,4080,106万,0.5
508,ムーランド,Stoutland,85,110,90,45,90,80,500,ノーマル,,"いかく
すなかき
(きもったま)",1.2,61.0,45,1:1,225,70,攻撃+3,陸上,4080,106万,0.5
509,チョロネコ,Purrloin,41,50,37,50,37,66,281,あく,,"じゅうなん
かるわざ
(いたずらごころ)",0.4,10.1,255,1:1,56,70,素早+1,陸上,5355,100万,0.5
510,レパルダス,Liepard,64,88,50,88,50,106,446,あく,,"じゅうなん
かるわざ
(いたずらごころ)",1.1,37.5,90,1:1,156,70,素早+2,陸上,5355,100万,0.5
511,ヤナップ,Pansage,50,53,48,53,48,64,316,くさ,,"くいしんぼう
(しんりょく)",0.6,10.5,190,7:1,63,70,素早+1,陸上,5355,100万,0.875
512,ヤナッキー,Simisage,75,98,63,98,63,101,498,くさ,,"くいしんぼう
(しんりょく)",1.1,30.5,75,7:1,174,70,素早+2,陸上,5355,100万,0.875
513,バオップ,Pansear,50,53,48,53,48,64,316,ほのお,,"くいしんぼう
(もうか)",0.6,11.0,190,7:1,63,70,素早+1,陸上,5355,100万,0.875
514,バオッキー,Simisear,75,98,63,98,63,101,498,ほのお,,"くいしんぼう
(もうか)",1.0,28.0,75,7:1,174,70,素早+2,陸上,5355,100万,0.875
515,ヒヤップ,Panpour,50,53,48,53,48,64,316,みず,,"くいしんぼう
(げきりゅう)",0.6,13.5,190,7:1,63,70,素早+1,陸上,5355,100万,0.875
516,ヒヤッキー,Simipour,75,98,63,98,63,101,498,みず,,"くいしんぼう
(げきりゅう)",1.0,29.0,75,7:1,174,70,素早+2,陸上,5355,100万,0.875
517,ムンナ,Munna,76,25,45,67,55,24,292,エスパー,,"よちむ
シンクロ
(テレパシー)",0.6,23.3,190,1:1,58,70,HP+1,陸上,2805,80万,0.5
